_id,datetime,temperature
1,2016-08-18T10:55:00,83.28
2,2016-08-18T11:00:00,80.35
3,2016-08-18T11:05:00,87.61
4,2016-08-18T11:10:00,80.72
5,2016-08-18T11:15:00,80.21
6,2016-08-18T11:20:00,80.81
7,2016-08-18T11:25:00,84.27
8,2016-08-18T11:30:00,86.5
9,2016-08-18T11:35:00,89.6
10,2016-08-18T11:40:00,89.68
11,2016-08-18T11:45:00,88
12,2016-08-18T11:50:00,87.26
13,2016-08-18T11:55:00,86.12
14,2016-08-18T12:00:00,84.21
15,2016-08-18T12:05:00,79.69
16,2016-08-18T12:10:00,79.01
17,2016-08-18T12:15:00,79.26
18,2016-08-18T12:20:00,78.03
19,2016-08-18T12:25:00,81.27
20,2016-08-18T12:30:00,83.78
21,2016-08-18T12:35:00,85.39
22,2016-08-18T12:40:00,82.57
23,2016-08-18T12:45:00,81.51
24,2016-08-18T12:50:00,82.89
25,2016-08-18T12:55:00,82.53
26,2016-08-18T13:00:00,84.02
27,2016-08-18T13:05:00,85.97
28,2016-08-18T13:10:00,85.16
29,2016-08-18T14:45:00,79.86
30,2016-08-18T14:50:00,84.5
31,2016-08-18T14:55:00,87.59
32,2016-08-18T15:00:00,88.66
33,2016-08-18T15:05:00,87.35
34,2016-08-18T15:10:00,85.04
35,2016-08-18T15:15:00,91.52
36,2016-08-18T15:20:00,89.03
37,2016-08-18T15:25:00,90.27
38,2016-08-18T15:30:00,90.4
39,2016-08-18T15:35:00,88.07
40,2016-08-18T15:40:00,89.25
41,2016-08-18T15:45:00,87.6
42,2016-08-18T15:50:00,82.53
43,2016-08-18T15:55:00,84.52
44,2016-08-18T16:00:00,84.18
45,2016-08-18T16:05:00,84.16
46,2016-08-18T16:10:00,84.75
47,2016-08-18T16:15:00,87.45
48,2016-08-18T16:20:00,81.49
49,2016-08-18T16:25:00,79.67
50,2016-08-18T16:30:00,83.43
51,2016-08-18T16:35:00,83.32
52,2016-08-18T16:40:00,82.5
53,2016-08-18T16:45:00,78.85
54,2016-08-18T16:50:00,82.13
55,2016-08-18T16:55:00,81.43
56,2016-08-18T17:00:00,82.88
57,2016-08-18T17:05:00,84.89
58,2016-08-18T17:10:00,82.56
59,2016-08-18T17:15:00,80.16
60,2016-08-18T17:20:00,81.38
61,2016-08-18T17:25:00,82.21
62,2016-08-18T17:30:00,77.17
63,2016-08-18T17:35:00,77.08
64,2016-08-18T17:40:00,69.42
65,2016-08-18T17:45:00,71.87
66,2016-08-18T17:50:00,72.41
67,2016-08-18T17:55:00,76.26
68,2016-08-18T18:00:00,82.42
69,2016-08-18T18:05:00,80.22
70,2016-08-18T18:10:00,77.75
71,2016-08-18T18:15:00,80.27
72,2016-08-18T18:20:00,81.66
73,2016-08-18T18:25:00,78.57
74,2016-08-18T18:30:00,73.69
75,2016-08-18T18:35:00,75.88
76,2016-08-18T18:40:00,76.05
77,2016-08-18T18:45:00,74.25
78,2016-08-18T18:50:00,73.24
79,2016-08-18T18:55:00,73.79
80,2016-08-18T19:00:00,71.4
81,2016-08-18T19:05:00,69.89
82,2016-08-18T19:10:00,68.26
83,2016-08-18T19:15:00,67.6
84,2016-08-18T19:20:00,66.28
85,2016-08-18T19:25:00,64.28
86,2016-08-18T19:30:00,62.89
87,2016-08-18T19:35:00,62.37
88,2016-08-18T19:40:00,61.54
89,2016-08-18T19:45:00,57.86
90,2016-08-18T19:50:00,53.59
91,2016-08-18T19:55:00,51.28
92,2016-08-18T20:00:00,50.54
93,2016-08-18T20:05:00,49.07
94,2016-08-18T20:10:00,46.16
95,2016-08-18T20:15:00,42.48
96,2016-08-18T20:20:00,39.9
97,2016-08-18T20:25:00,37.69
98,2016-08-18T20:30:00,33.96
99,2016-08-18T20:35:00,30.87
100,2016-08-18T20:40:00,28.48
101,2016-08-18T20:45:00,25.63
102,2016-08-18T20:50:00,22.61
103,2016-08-18T20:55:00,19.86
104,2016-08-18T21:00:00,17.89
105,2016-08-18T21:05:00,16.34
106,2016-08-18T21:10:00,15.31
107,2016-08-18T21:15:00,14.43
108,2016-08-18T21:20:00,14.37
109,2016-08-18T21:25:00,13.88
110,2016-08-18T21:30:00,13.66
111,2016-08-18T21:35:00,13.75
112,2016-08-18T21:40:00,13.93
113,2016-08-18T21:45:00,13.59
114,2016-08-18T21:50:00,13.59
115,2016-08-18T21:55:00,3.21
116,2016-08-18T22:00:00,2.19
117,2016-08-18T22:05:00,2.29
118,2016-08-18T22:10:00,2.15
119,2016-08-18T22:15:00,2.42
120,2016-08-18T22:20:00,2.6
121,2016-08-18T22:25:00,2.31
122,2016-08-18T22:30:00,2.51
123,2016-08-18T22:35:00,2.49
124,2016-08-18T22:40:00,2.49
125,2016-08-18T22:45:00,2.18
126,2016-08-18T22:50:00,2.37
127,2016-08-18T22:55:00,1.99
128,2016-08-18T23:00:00,2.39
129,2016-08-18T23:05:00,2.15
130,2016-08-18T23:10:00,1.98
131,2016-08-18T23:15:00,1.92
132,2016-08-18T23:20:00,1.82
133,2016-08-18T23:25:00,2.25
134,2016-08-18T23:30:00,1.91
135,2016-08-18T23:35:00,1.89
136,2016-08-18T23:40:00,2.32
137,2016-08-18T23:45:00,1.84
138,2016-08-18T23:50:00,2.04
139,2016-08-18T23:55:00,1.91
140,2016-08-19T00:00:00,1.99
141,2016-08-19T00:05:00,2.3
142,2016-08-19T00:10:00,1.94
143,2016-08-19T00:15:00,2.08
144,2016-08-19T00:20:00,1.86
145,2016-08-19T00:25:00,2.13
146,2016-08-19T00:30:00,2.16
147,2016-08-19T00:35:00,2.1
148,2016-08-19T00:40:00,2.03
149,2016-08-19T00:45:00,2.47
150,2016-08-19T00:50:00,2.09
151,2016-08-19T00:55:00,1.94
152,2016-08-19T01:00:00,1.91
153,2016-08-19T01:05:00,2.13
154,2016-08-19T01:10:00,1.98
155,2016-08-19T01:15:00,2.22
156,2016-08-19T01:20:00,1.66
157,2016-08-19T01:25:00,2.25
158,2016-08-19T01:30:00,2.01
159,2016-08-19T01:35:00,1.89
160,2016-08-19T01:40:00,1.82
161,2016-08-19T01:45:00,2.2
162,2016-08-19T01:50:00,2.13
163,2016-08-19T01:55:00,1.77
164,2016-08-19T02:00:00,2.3
165,2016-08-19T02:05:00,2.05
166,2016-08-19T02:10:00,1.94
167,2016-08-19T02:15:00,1.93
168,2016-08-19T02:20:00,1.84
169,2016-08-19T02:25:00,1.91
170,2016-08-19T02:30:00,2.33
171,2016-08-19T02:35:00,1.96
172,2016-08-19T02:40:00,2.13
173,2016-08-19T02:45:00,1.84
174,2016-08-19T02:50:00,2.28
175,2016-08-19T02:55:00,1.97
176,2016-08-19T03:00:00,2.12
177,2016-08-19T03:05:00,2.15
178,2016-08-19T03:10:00,2.23
179,2016-08-19T03:15:00,1.99
180,2016-08-19T03:20:00,2.23
181,2016-08-19T03:25:00,1.99
182,2016-08-19T03:30:00,2.39
183,2016-08-19T03:35:00,2.01
184,2016-08-19T03:40:00,2.21
185,2016-08-19T03:45:00,2.3
186,2016-08-19T03:50:00,2.09
187,2016-08-19T03:55:00,2.23
188,2016-08-19T04:00:00,2.35
189,2016-08-19T04:05:00,2.7
190,2016-08-19T04:10:00,2.38
191,2016-08-19T04:15:00,2.3
192,2016-08-19T04:20:00,2.35
193,2016-08-19T04:25:00,2.56
194,2016-08-19T04:30:00,2.25
195,2016-08-19T04:35:00,2.54
196,2016-08-19T04:40:00,2.5
197,2016-08-19T04:45:00,2.43
198,2016-08-19T04:50:00,2.13
199,2016-08-19T04:55:00,1.99
200,2016-08-19T05:00:00,2.25
201,2016-08-19T05:05:00,2.41
202,2016-08-19T05:10:00,2.26
203,2016-08-19T05:15:00,2.6
204,2016-08-19T05:20:00,57.69
205,2016-08-19T05:25:00,57.49
206,2016-08-19T05:30:00,57.49
207,2016-08-19T05:35:00,14.62
208,2016-08-19T05:40:00,64.09
209,2016-08-19T05:45:00,64.32
210,2016-08-19T05:50:00,64.73
211,2016-08-19T05:55:00,65.28
212,2016-08-19T06:00:00,66.33
213,2016-08-19T06:05:00,66.88
214,2016-08-19T06:10:00,67.59
215,2016-08-19T06:15:00,68.05
216,2016-08-19T06:20:00,68.95
217,2016-08-19T06:25:00,67.35
218,2016-08-19T06:30:00,70.36
219,2016-08-19T06:35:00,65.97
220,2016-08-19T06:40:00,70.16
221,2016-08-19T06:45:00,74.85
222,2016-08-19T06:50:00,74.46
223,2016-08-19T06:55:00,72.79
224,2016-08-19T07:00:00,72.14
225,2016-08-19T07:05:00,72.81
226,2016-08-19T07:10:00,72.06
227,2016-08-19T07:15:00,72.1
228,2016-08-19T07:20:00,71.94
229,2016-08-19T07:25:00,72.97
230,2016-08-19T07:30:00,73.12
231,2016-08-19T07:35:00,72.34
232,2016-08-19T07:40:00,67.6
233,2016-08-19T07:45:00,73.04
234,2016-08-19T07:50:00,77.83
235,2016-08-19T07:55:00,77.56
236,2016-08-19T08:00:00,77.47
237,2016-08-19T08:05:00,77.57
238,2016-08-19T08:10:00,79.02
239,2016-08-19T08:15:00,80.55
240,2016-08-19T08:20:00,80.92
241,2016-08-19T08:25:00,81.77
242,2016-08-19T08:30:00,80.25
243,2016-08-19T08:35:00,79.89
244,2016-08-19T08:40:00,80.02
245,2016-08-19T08:45:00,80.94
246,2016-08-19T08:50:00,82.82
247,2016-08-19T08:55:00,84.12
248,2016-08-19T09:00:00,85.52
249,2016-08-19T09:05:00,86.3
250,2016-08-19T09:10:00,85.88
251,2016-08-19T09:15:00,87.54
252,2016-08-19T09:20:00,88.13
253,2016-08-19T09:25:00,89.2
254,2016-08-19T09:30:00,89.6
255,2016-08-19T09:35:00,88.13
256,2016-08-19T09:40:00,88.18
257,2016-08-19T09:45:00,88.09
258,2016-08-19T09:50:00,88.19
259,2016-08-19T09:55:00,92.79
260,2016-08-19T10:00:00,93.31
261,2016-08-19T10:05:00,92.07
262,2016-08-19T10:10:00,88.74
263,2016-08-19T10:15:00,86.81
264,2016-08-19T10:20:00,86.94
265,2016-08-19T10:25:00,84.73
